"id_produk";"Title";"Price";"Luas_Bangunan";"Luas_Tanah";"Kamar_Tidur";"Tipe_Properti";"Tipe_Penawaran";"Lokasi"
"6057";"Hunian Modern Murah Kawasan Strategis Di Sidoarjo";"279000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6058";"Perumahan Di Sidoarjo Harga 200 Jutaan";"289000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6059";"PALING NYAMAN Hunian mewah di nol jalan rencana oerr sidoarjo ";"400000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6060";"PROMO BOMBASTIS Hunian strategis nol jalan rencana OERR di sidoarjo ";"355000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6061";"Rumah modern diamond city juanda sidoarjo DP 50 jutaan free kolam renang ";"340000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6062";"HUNIAN VIRAL DI KAWASAN JUANDA SIDOARJO LOKASI STRATEGIS ";"400000000";"42";"42";"2";"Rumah";"Dijual";"Sidoar"
"6063";"Rumah usaha griya mapan sentosa";"649999000";"168";"120";"5";"Rumah";"Dijual";"Sidoar"
"6064";"Rumah baru jadi mewah free dua AC di Selatan Surabaya";"2147483647";"100";"55";"2";"Rumah";"Dijual";"Sidoar"
"6065";"Rumah super mewah dg kolam renang full furnished harga super murah";"1250000000";"600";"288";"4";"Rumah";"Dijual";"Sidoar"
"6066";"Rumah Jual Graha Anggrek Mas-Buduran";"1900000000";"150";"135";"3";"Rumah";"Dijual";"Sidoar"
"6067";"Rumah Jual Taman Tiara Green Cluster-Buduran ";"1100000000";"300";"153";"2";"Rumah";"Dijual";"Sidoar"
"6068";"Rumah murah Lokasi strategis";"280000000";"71";"105";"2";"Rumah";"Dijual";"Sidoar"
"6069";"Rumah Baru Lokasi Masangan Kulon Sukodono Sidoarjo";"540000000";"36";"78";"2";"Rumah";"Dijual";"Sidoar"
"6070";"Rumah Murah Grand Masangan Sukodono Sidoarjo";"179000000";"38";"90";"2";"Rumah";"Dijual";"Sidoar"
"6071";"Rumah 100 Jutaan di Sedati Sidoarjo";"325000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6072";"Rumah Dekat Juanda Daerah Sedati Harga 300 Jt-An";"230000000";"42";"72";"2";"Rumah";"Dijual";"Sidoar"
"6073";"Rumah Kekinian Suasana Asri Harga Bersahabat Ukuran Ideal";"625000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6074";"Rumah Kost wage Aloha Taman Sidoarjo";"325000000";"139";"139";"12";"Rumah";"Dijual";"Sidoar"
"6075";"Rumah Dekat Juanda Sidoarjo Di Jual Harga 300 Jt-an | Sedati";"850000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
