"id_produk","Title","Price","Luas_Bangunan","Luas_Tanah","Kamar_Tidur","Tipe_Properti","Tipe_Penawaran","Lokasi"
"11366","Disewa Rumah Vila Bukit Indah Pakuwon Indah Surabaya","180000000","550","375","4","Rumah","Disewakan","Suraba"
"11367","Rumah Nirwana Eksekutif Siap Huni","50000000","160","114","3","Rumah","Disewakan","Suraba"
"11368","Rumah Tinggal NGINDEN INTAN TIMUR Baru Renovasi Hadap Barat  Strategis","55000000","150","150","4","Rumah","Disewakan","Suraba"
"11369","Rumah Mewah Graha Family B Surabya","150000000","350","322","3","Rumah","Disewakan","Suraba"
"11370","Rumah Sewa Graha Sampurna Indah","50000000","205","153","4","Rumah","Disewakan","Suraba"
"11371","Rumah Purimas Rungkut Strategis","35000000","100","100","4","Rumah","Disewakan","Suraba"
"11372","Rumah Sewa Taman Puspa Raya Citraland","30000000","105","105","2","Rumah","Disewakan","Suraba"
"11373","Disewakan Rumah Asri Nyaman Semolowaru Elok","45000000","232","198","4","Rumah","Disewakan","Suraba"
"11374","Dijual / disewakan rumah 2 lantai terawat  bagus ","85000000","96","216","3","Rumah","Disewakan","Suraba"
"11375","Disewa Rumah Sutorejo  Surabaya Timur Dekat Mulyosari ITS","40000000","237","96","5","Rumah","Disewakan","Suraba"
"11376","Rumah Dharmahusada Mas Furnish Luas Siap Huni Terdapat 3 Unit AC","80000000","46","237","4","Rumah","Disewakan","Suraba"
"11377","DISEWAKAN VICENZA NWP CITRALAND GRES","25000000","100","72","2","Rumah","Disewakan","Suraba"
"11378","Rumah disewakan Griya Benowo Indah","37000000","120","100","3","Rumah","Disewakan","Suraba"
"11379","rumah surabaya timur babatan pantai barat (AD)","65000000","90","152","5","Rumah","Disewakan","Suraba"
"11380","Sewa rumah babatan mukti murahh poll kosongan","30000000","89","133","2","Rumah","Disewakan","Suraba"
"11381","Disewakan Rumah Puri Citra Rungkut","35000000","105","120","3","Rumah","Disewakan","Suraba"
"11382","Rumah Babatan Pantai Barat New Gress BagusRow 3 mobil","40000000","160","96","3","Rumah","Disewakan","Suraba"
"11383","Rumah New Renov TPR","40000000","50","105","2","Rumah","Disewakan","Suraba"
"11384","Disewakan Rumah 2 Lantai Di Pakuwon City Mossel Bay Mulyorejo","85000000","135","160","5","Rumah","Disewakan","Suraba"
"11385","Rumah Royal Residence Cluster Sri Nade Carport 1","45000000","46","50","2","Rumah","Disewakan","Suraba"
"11386","*Jual/sewa Rumah Usaha second road Jemursari* ","90000000","250","600","3","Rumah","Disewakan","Suraba"
"11387","Rumah TERMURAH NGINDEN INTAN TIMUR","35000000","164","144","3","Rumah","Disewakan","Suraba"
"11388","Rumah Sewa Graha Sampurna Indah","50000000","205","153","4","Rumah","Disewakan","Suraba"
"11389","Rumah Purimas Rungkut Strategis","35000000","100","100","4","Rumah","Disewakan","Suraba"
"11390","Disewakan Rumah Rayan Regency","40000000","100","144","2","Rumah","Disewakan","Suraba"
"11391","Rumah citraland rafles garden surabaya barat","40000000","280","210","5","Rumah","Disewakan","Suraba"
"11392","Rumah Babatan Pantai Barat New Gress BagusRow 3 mobil","50000000","89","96","3","Rumah","Disewakan","Suraba"
"11393","RUMAH 2 LANTAI MODERN MINIMALIS BARU","55000000","150","191","2","Rumah","Disewakan","Suraba"
"11394","Rumah Citraland Taman Puspa Raya Sambikerep - Surabaya | Wonderfull House","35000000","95","119","3","Rumah","Disewakan","Suraba"
"11395","Disewakan Rumah Free Ac Di Citraland Northwest Park Surabaya ","150000000","50","72","2","Rumah","Disewakan","Suraba"
"11396","Rumah Mewah Graha Family B Surabya","55000000","350","322","3","Rumah","Disewakan","Suraba"
"11397","Rumah Tinggal NGINDEN INTAN TIMUR Baru Renovasi Hadap Barat  Strategis","37000000","150","150","4","Rumah","Disewakan","Suraba"
"11398","Rumah disewakan Griya Benowo Indah","65000000","100","100","3","Rumah","Disewakan","Suraba"
"11399","rumah surabaya timur babatan pantai barat (AD)","25000000","46","152","5","Rumah","Disewakan","Suraba"
"11400","DISEWAKAN VICENZA NWP CITRALAND GRES","35000000","90","72","2","Rumah","Disewakan","Suraba"
"11401","Disewakan Rumah Bukit Palma Surabaya","165000000","40","65","2","Rumah","Disewakan","Suraba"
